Detected	Degrees Per Second	Correct Count	Step Size	Subject Number	Height	Age	Sex	RA Name	Other
True	0	1	0.05	test			Option A	Mayela	
True	0	2	0.05	test			Option A	Mayela	
False	-2.7	2	0.05	test			Option A	Mayela	
False	0	2	0.05	test			Option A	Mayela	
True	-2.4	3	0.05	test			Option A	Mayela	
True	0	4	0.05	test			Option A	Mayela	
False	0	4	0.05	test			Option A	Mayela	
True	1.95	5	0.05	test			Option A	Mayela	
True	0	6	0.05	test			Option A	Mayela	
True	0	7	0.05	test			Option A	Mayela	
True	0	1	0.03	test			Option A	Mayela	
True	1.71	2	0.03	test			Option A	Mayela	
True	0	3	0.03	test			Option A	Mayela	
True	1.53	4	0.03	test			Option A	Mayela	
True	-1.44	5	0.03	test			Option A	Mayela	
True	1.35	6	0.03	test			Option A	Mayela	
True	0	1	0.05				Option A		
True	0	2	0.05				Option A		
True	0	3	0.05				Option A		
True	0	4	0.05				Option A		
True	0	5	0.05				Option A		
True	3	1	0.05	test	72	20	Option A	Eva	
True	0	2	0.05	test	72	20	Option A	Eva	
True	2.7	3	0.05	test	72	20	Option A	Eva	
True	0	4	0.05	test	72	20	Option A	Eva	
True	2.4	5	0.05	test	72	20	Option A	Eva	
True	-2.25	6	0.05	test	72	20	Option A	Eva	
True	3	1	0.05	1	73	18	Option A	Eva	
True	-2.85	2	0.05	1	73	18	Option A	Eva	
True	0	3	0.05	1	73	18	Option A	Eva	
True	-2.55	4	0.05	1	73	18	Option A	Eva	
True	0	5	0.05	1	73	18	Option A	Eva	
True	0	6	0.05	1	73	18	Option A	Eva	
True	0	7	0.05	1	73	18	Option A	Eva	
True	-1.95	8	0.05	1	73	18	Option A	Eva	
True	1.8	9	0.05	1	73	18	Option A	Eva	
True	-1.65	10	0.05	1	73	18	Option A	Eva	
True	0	1	0.03	1	73	18	Option A	Eva	
True	0	2	0.03	1	73	18	Option A	Eva	
True	1.62	3	0.03	1	73	18	Option A	Eva	
True	-1.53	4	0.03	1	73	18	Option A	Eva	
True	1.44	5	0.03	1	73	18	Option A	Eva	
False	0	0	0.05	test	23	23	Option A	eva	
True	-2.85	1	0.05	test	23	23	Option A	eva	
True	2.7	2	0.05	test	23	23	Option A	eva	
False	0	2	0.05	test	23	23	Option A	eva	
True	0	3	0.05	test	23	23	Option A	eva	
False	-2.25	3	0.05	test	23	23	Option A	eva	
True	2.1	4	0.05	test	23	23	Option A	eva	
True	0	5	0.05	test	23	23	Option A	eva	
True	3	1	0.05	test	20	20	Option A	Eva	
False	-2.85	1	0.05	test	20	20	Option A	Eva	
True	0	1	0.05	2	65	20	Option A	Eva	
True	0	2	0.05	2	65	20	Option A	Eva	
True	-2.7	3	0.05	2	65	20	Option A	Eva	
True	2.55	4	0.05	2	65	20	Option A	Eva	
True	-2.4	5	0.05	2	65	20	Option A	Eva	
True	2.25	6	0.05	2	65	20	Option A	Eva	
True	0	7	0.05	2	65	20	Option A	Eva	
True	0	8	0.05	2	65	20	Option A	Eva	
True	0	9	0.05	2	65	20	Option A	Eva	
True	0	10	0.05	2	65	20	Option A	Eva	
True	-1.8	1	0.03	2	65	20	Option A	Eva	
True	0	2	0.03	2	65	20	Option A	Eva	
True	-1.62	3	0.03	2	65	20	Option A	Eva	
True	0	4	0.03	2	65	20	Option A	Eva	
True	-1.44	5	0.03	2	65	20	Option A	Eva	
True	0	6	0.03	2	65	20	Option A	Eva	
True	0	7	0.03	2	65	20	Option A	Eva	
True	1.17	8	0.03	2	65	20	Option A	Eva	
True	0	9	0.03	2	65	20	Option A	Eva	
True	0.9900003	10	0.03	2	65	20	Option A	Eva	
True	0	1	0.018	2	65	20	Option A	Eva	
True	0	2	0.018	2	65	20	Option A	Eva	
False	0	2	0.018	2	65	20	Option A	Eva	
True	0	3	0.018	2	65	20	Option A	Eva	
True	-0.864	4	0.018	2	65	20	Option A	Eva	
True	0	5	0.018	2	65	20	Option A	Eva	
True	0	6	0.018	2	65	20	Option A	Eva	
True	0.7019999	7	0.018	2	65	20	Option A	Eva	
True	-0.6479999	8	0.018	2	65	20	Option A	Eva	
True	0	9	0.018	2	65	20	Option A	Eva	
True	0	1	0.0108	2	65	20	Option A	Eva	
True	0.6156	2	0.0108	2	65	20	Option A	Eva	
True	0	3	0.0108	2	65	20	Option A	Eva	
True	0.5508	4	0.0108	2	65	20	Option A	Eva	
True	-0.5184	5	0.0108	2	65	20	Option A	Eva	
True	0.486	6	0.0108	2	65	20	Option A	Eva	
True	0	1	0.05	3	61	18	Option A	Eva	
True	-2.85	2	0.05	3	61	18	Option A	Eva	
True	2.7	3	0.05	3	61	18	Option A	Eva	
True	-2.55	4	0.05	3	61	18	Option A	Eva	
True	2.4	5	0.05	3	61	18	Option A	Eva	
True	-2.25	6	0.05	3	61	18	Option A	Eva	
True	0	7	0.05	3	61	18	Option A	Eva	
True	-1.95	8	0.05	3	61	18	Option A	Eva	
True	1.8	9	0.05	3	61	18	Option A	Eva	
True	-1.65	10	0.05	3	61	18	Option A	Eva	
True	0	1	0.03	3	61	18	Option A	Eva	
True	0	2	0.03	3	61	18	Option A	Eva	
True	0	3	0.03	3	61	18	Option A	Eva	
True	0	4	0.03	3	61	18	Option A	Eva	
True	0	5	0.03	3	61	18	Option A	Eva	
True	-1.35	6	0.03	3	61	18	Option A	Eva	
True	1.26	7	0.03	3	61	18	Option A	Eva	
True	0	8	0.03	3	61	18	Option A	Eva	
True	0	9	0.03	3	61	18	Option A	Eva	
True	0	10	0.03	3	61	18	Option A	Eva	
True	1.08	1	0.018	3	61	18	Option A	Eva	
True	-1.026	2	0.018	3	61	18	Option A	Eva	
True	0	3	0.018	3	61	18	Option A	Eva	
True	0	4	0.018	3	61	18	Option A	Eva	
True	0	5	0.018	3	61	18	Option A	Eva	
True	0	6	0.018	3	61	18	Option A	Eva	
True	0	7	0.018	3	61	18	Option A	Eva	
True	0	8	0.018	3	61	18	Option A	Eva	
True	0.6479999	9	0.018	3	61	18	Option A	Eva	
True	0	10	0.018	3	61	18	Option A	Eva	
True	0	1	0.0108	3	61	18	Option A	Eva	
True	0	2	0.0108	3	61	18	Option A	Eva	
True	0	3	0.0108	3	61	18	Option A	Eva	
True	-0.5508	4	0.0108	3	61	18	Option A	Eva	
True	0.5184	5	0.0108	3	61	18	Option A	Eva	
False	-0.486	5	0.0108	3	61	18	Option A	Eva	
True	0.4536	6	0.0108	3	61	18	Option A	Eva	
True	-0.4212	7	0.0108	3	61	18	Option A	Eva	
False	0	0	0.05				Option A		
True	2	1	0.05	4	67	18	Option A	Wendy	no
True	0	2	0.05	4	67	18	Option A	Wendy	no
True	0	3	0.05	4	67	18	Option A	Wendy	no
True	-1.7	4	0.05	4	67	18	Option A	Wendy	no
True	0	5	0.05	4	67	18	Option A	Wendy	no
True	0	6	0.05	4	67	18	Option A	Wendy	no
True	0	7	0.05	4	67	18	Option A	Wendy	no
True	-1.3	8	0.05	4	67	18	Option A	Wendy	no
True	1.2	9	0.05	4	67	18	Option A	Wendy	no
True	0	10	0.05	4	67	18	Option A	Wendy	no
True	0	1	0.03	4	67	18	Option A	Wendy	no
True	-1.14	2	0.03	4	67	18	Option A	Wendy	no
True	1.08	3	0.03	4	67	18	Option A	Wendy	no
True	0	4	0.03	4	67	18	Option A	Wendy	no
True	0.9600002	5	0.03	4	67	18	Option A	Wendy	no
True	0	6	0.03	4	67	18	Option A	Wendy	no
True	0.8400002	7	0.03	4	67	18	Option A	Wendy	no
True	0	8	0.03	4	67	18	Option A	Wendy	no
True	0	9	0.03	4	67	18	Option A	Wendy	no
True	0	10	0.03	4	67	18	Option A	Wendy	no
False	0	0	0.018	4	67	18	Option A	Wendy	no
True	-0.684	1	0.018	4	67	18	Option A	Wendy	no
True	0	2	0.018	4	67	18	Option A	Wendy	no
True	0	3	0.018	4	67	18	Option A	Wendy	no
True	0.576	4	0.018	4	67	18	Option A	Wendy	no
True	-0.54	5	0.018	4	67	18	Option A	Wendy	no
False	0.5039999	5	0.018	4	67	18	Option A	Wendy	no
True	0	6	0.018	4	67	18	Option A	Wendy	no
True	0.4319999	7	0.018	4	67	18	Option A	Wendy	no
False	0	7	0.018	4	67	18	Option A	Wendy	no
True	0	1	0.0108	4	67	18	Option A	Wendy	no
False	0	1	0.0108	4	67	18	Option A	Wendy	no
True	0	2	0.0108	4	67	18	Option A	Wendy	no
False	0	2	0.0108	4	67	18	Option A	Wendy	no
True	0	3	0.0108	4	67	18	Option A	Wendy	no
True	0	4	0.0108	4	67	18	Option A	Wendy	no
True	0.3024	5	0.0108	4	67	18	Option A	Wendy	no
True	-0.2808	6	0.0108	4	67	18	Option A	Wendy	no
True	0.2592	7	0.0108	4	67	18	Option A	Wendy	no
True	0	8	0.0108	4	67	18	Option A	Wendy	no
